t,th1,th2,dth1,dth2
0,0,0,0,0
0.0001,-2.86659e-08,2.05122e-08,-0.000573317,0.000410244
0.0002,-1.14663e-07,8.20488e-08,-0.00114663,0.000820488
0.0003,-2.57993e-07,1.8461e-07,-0.00171995,0.00123073
0.0004,-4.58654e-07,3.28195e-07,-0.00229327,0.00164098
0.0005,-7.16646e-07,5.12805e-07,-0.00286659,0.00205122
0.0006,-1.03197e-06,7.38439e-07,-0.0034399,0.00246146
0.0007,-1.40463e-06,1.0051e-06,-0.00401322,0.00287171
0.0008,-1.83461e-06,1.31278e-06,-0.00458654,0.00328195
0.0009,-2.32193e-06,1.66149e-06,-0.00515985,0.0036922
0.001,-2.86659e-06,2.05122e-06,-0.00573317,0.00410244
0.0011,-3.46857e-06,2.48198e-06,-0.00630649,0.00451268
0.0012,-4.12788e-06,2.95376e-06,-0.0068798,0.00492293
0.0013,-4.84453e-06,3.46656e-06,-0.00745312,0.00533317
0.0014,-5.61851e-06,4.02039e-06,-0.00802644,0.00574341
0.0015,-6.44982e-06,4.61524e-06,-0.00859976,0.00615366
0.0016,-7.33846e-06,5.25112e-06,-0.00917307,0.0065639
0.0017,-8.28443e-06,5.92802e-06,-0.00974639,0.00697415
0.0018,-9.28774e-06,6.64595e-06,-0.0103197,0.00738439
0.0019,-1.03484e-05,7.4049e-06,-0.010893,0.00779463
0.002,-1.14663e-05,8.20488e-06,-0.0114663,0.00820488
0.0021,-1.26416e-05,9.04588e-06,-0.0120397,0.00861512
0.0022,-1.38743e-05,9.9279e-06,-0.012613,0.00902537
0.0023,-1.51642e-05,1.0851e-05,-0.0131863,0.00943561
0.0024,-1.65115e-05,1.1815e-05,-0.0137596,0.00984585
0.0025,-1.79162e-05,1.28201e-05,-0.0143329,0.0102561
0.0026,-1.93781e-05,1.38662e-05,-0.0149062,0.0106663
0.0027,-2.08974e-05,1.49534e-05,-0.0154796,0.0110766
0.0028,-2.2474e-05,1.60816e-05,-0.0160529,0.0114868
0.0029,-2.4108e-05,1.72508e-05,-0.0166262,0.0118971
0.003,-2.57993e-05,1.8461e-05,-0.0171995,0.0123073
0.0031,-2.75479e-05,1.97122e-05,-0.0177728,0.0127176
0.0032,-2.93538e-05,2.10045e-05,-0.0183461,0.0131278
0.0033,-3.12171e-05,2.23378e-05,-0.0189195,0.013538
0.0034,-3.31377e-05,2.37121e-05,-0.0194928,0.0139483
0.0035,-3.51157e-05,2.51274e-05,-0.0200661,0.0143585
0.0036,-3.71509e-05,2.65838e-05,-0.0206394,0.0147688
0.0037,-3.92436e-05,2.80812e-05,-0.0212127,0.015179
0.0038,-4.13935e-05,2.96196e-05,-0.021786,0.0155893
0.0039,-4.36008e-05,3.1199e-05,-0.0223594,0.0159995
0.004,-4.58654e-05,3.28195e-05,-0.0229327,0.0164098
0.0041,-4.81873e-05,3.4481e-05,-0.023506,0.01682
0.0042,-5.05666e-05,3.61835e-05,-0.0240793,0.0172302
0.0043,-5.30032e-05,3.7927e-05,-0.0246526,0.0176405
0.0044,-5.54971e-05,3.97116e-05,-0.025226,0.0180507
0.0045,-5.80484e-05,4.15372e-05,-0.0257993,0.018461
0.0046,-6.06569e-05,4.34038e-05,-0.0263726,0.0188712
0.0047,-6.33229e-05,4.53114e-05,-0.0269459,0.0192815
0.0048,-6.60461e-05,4.72601e-05,-0.0275192,0.0196917
0.0049,-6.88267e-05,4.92498e-05,-0.0280925,0.020102
0.005,-7.16646e-05,5.12805e-05,-0.0286659,0.0205122
0.0051,-7.45599e-05,5.33522e-05,-0.0292392,0.0209224
