t,x,z,th1,th2,dth1,dth2
0,2,0,0,0,0,0
0.0001,2,-3.82829e-08,-3.11049e-08,2.39268e-08,-0.000622098,0.000478537
0.0002,2,-1.53132e-07,-1.2442e-07,9.57073e-08,-0.0012442,0.000957073
0.0003,2,-3.44546e-07,-2.79944e-07,2.15341e-07,-0.00186629,0.00143561
0.0004,2,-6.12527e-07,-4.97678e-07,3.82829e-07,-0.00248839,0.00191415
0.0005,2,-9.57073e-07,-7.77622e-07,5.98171e-07,-0.00311049,0.00239268
0.0006,2,-1.37819e-06,-1.11978e-06,8.61366e-07,-0.00373259,0.00287122
0.0007,2,-1.87586e-06,-1.52414e-06,1.17241e-06,-0.00435468,0.00334976
0.0008,2,-2.45011e-06,-1.99071e-06,1.53132e-06,-0.00497678,0.00382829
0.0009,2,-3.10092e-06,-2.5195e-06,1.93807e-06,-0.00559888,0.00430683
0.001,2,-3.82829e-06,-3.11049e-06,2.39268e-06,-0.00622098,0.00478537
0.0011,2,-4.63223e-06,-3.76369e-06,2.89515e-06,-0.00684307,0.0052639
0.0012,2,-5.51274e-06,-4.4791e-06,3.44546e-06,-0.00746517,0.00574244
0.0013,2,-6.46981e-06,-5.25672e-06,4.04363e-06,-0.00808727,0.00622098
0.0014,2,-7.50345e-06,-6.09656e-06,4.68966e-06,-0.00870937,0.00669951
0.0015,2,-8.61366e-06,-6.9986e-06,5.38354e-06,-0.00933146,0.00717805
0.0016,2,-9.80043e-06,-7.96285e-06,6.12527e-06,-0.00995356,0.00765659
0.0017,2,-1.10638e-05,-8.98931e-06,6.91485e-06,-0.0105757,0.00813512
0.0018,2,-1.24037e-05,-1.0078e-05,7.75229e-06,-0.0111978,0.00861366
0.0019,2,-1.38201e-05,-1.12289e-05,8.63759e-06,-0.0118199,0.0090922
0.002,2,-1.53132e-05,-1.2442e-05,9.57073e-06,-0.012442,0.00957073
0.0021,2,-1.68828e-05,-1.37173e-05,1.05517e-05,-0.013064,0.0100493
0.0022,2,-1.85289e-05,-1.50548e-05,1.15806e-05,-0.0136861,0.0105278
0.0023,2,-2.02517e-05,-1.64545e-05,1.26573e-05,-0.0143082,0.0110063
0.0024,2,-2.2051e-05,-1.79164e-05,1.37819e-05,-0.0149303,0.0114849
0.0025,2,-2.39268e-05,-1.94405e-05,1.49543e-05,-0.0155524,0.0119634
0.0026,2,-2.58793e-05,-2.10269e-05,1.61745e-05,-0.0161745,0.012442
0.0027,2,-2.79083e-05,-2.26755e-05,1.74427e-05,-0.0167966,0.0129205
0.0028,2,-3.00138e-05,-2.43862e-05,1.87586e-05,-0.0174187,0.013399
0.0029,2,-3.21959e-05,-2.61592e-05,2.01225e-05,-0.0180408,0.0138776
0.003,2,-3.44546e-05,-2.79944e-05,2.15341e-05,-0.0186629,0.0143561
0.0031,2,-3.67899e-05,-2.98918e-05,2.29937e-05,-0.019285,0.0148346
0.0032,2,-3.92017e-05,-3.18514e-05,2.45011e-05,-0.0199071,0.0153132
0.0033,2,-4.16901e-05,-3.38732e-05,2.60563e-05,-0.0205292,0.0157917
0.0034,2,-4.42551e-05,-3.59572e-05,2.76594e-05,-0.0211513,0.0162702
0.0035,2,-4.68966e-05,-3.81035e-05,2.93104e-05,-0.0217734,0.0167488
0.0036,2,-4.96147e-05,-4.03119e-05,3.10092e-05,-0.0223955,0.0172273
0.0037,2,-5.24093e-05,-4.25826e-05,3.27558e-05,-0.0230176,0.0177059
0.0038,2,-5.52805e-05,-4.49154e-05,3.45503e-05,-0.0236397,0.0181844
0.0039,2,-5.82283e-05,-4.73105e-05,3.63927e-05,-0.0242618,0.0186629
0.004,2,-6.12527e-05,-4.97678e-05,3.82829e-05,-0.0248839,0.0191415
0.0041,2,-6.43536e-05,-5.22873e-05,4.0221e-05,-0.025506,0.01962
0.0042,2,-6.75311e-05,-5.4869e-05,4.22069e-05,-0.0261281,0.0200985
0.0043,2,-7.07851e-05,-5.75129e-05,4.42407e-05,-0.0267502,0.0205771
0.0044,2,-7.41157e-05,-6.0219e-05,4.63223e-05,-0.0273723,0.0210556
0.0045,2,-7.75229e-05,-6.29874e-05,4.84518e-05,-0.0279944,0.0215341
0.0046,2,-8.10067e-05,-6.58179e-05,5.06292e-05,-0.0286165,0.0220127
0.0047,2,-8.4567e-05,-6.87107e-05,5.28544e-05,-0.0292386,0.0224912
0.0048,2,-8.82039e-05,-7.16656e-05,5.51274e-05,-0.0298607,0.0229698
0.0049,2,-9.19173e-05,-7.46828e-05,5.74483e-05,-0.0304828,0.0234483
0.005,2,-9.57073e-05,-7.77622e-05,5.98171e-05,-0.0311049,0.0239268
0.0051,2,-9.95739e-05,-8.09038e-05,6.22337e-05,-0.031727,0.0244054
0.0052,2,-0.000103517,-8.41076e-05,6.46981e-05,-0.0323491,0.0248839
0.0053,2,-0.000107537,-8.73736e-05,6.72105e-05,-0.0329712,0.0253624
0.0054,2,-0.000111633,-9.07018e-05,6.97706e-05,-0.0335933,0.025841
0.0055,2,-0.000115806,-9.40923e-05,7.23787e-05,-0.0342154,0.0263195
0.0056,2,-0.000120055,-9.75449e-05,7.50345e-05,-0.0348375,0.026798
0.0057,2,-0.000124381,-0.00010106,7.77383e-05,-0.0354596,0.0272766
0.0058,2,-0.000128784,-0.000104637,8.04899e-05,-0.0360817,0.0277551
0.0059,2,-0.000133263,-0.000108276,8.32893e-05,-0.0367038,0.0282337
0.006,2,-0.000137819,-0.000111978,8.61366e-05,-0.0373259,0.0287122
